3DMST,7.08,0.3
3DMST-CM,6.49,0.3
ADSM,33.9,1.49
AMNet,47.3,1.92
APAP-Stereo,7.53,0.49
AVERAGE_ROB,96.7,68.7
BSM,37.1,1.61
CBMBNet,10,0.42
CBMV,11.7,0.53
CBMV_ROB,9.61,0.4
Cens5,23.3,0.85
CGPT,29.6,1.33
DAWA-F,24.9,0.84
DCNN,8.99,0.3
DDL,28.6,1.31
DeepPruner_ROB,21.3,0.88
Dense-CNN,10.1,0.33
DF,49.2,3.16
DISCO,6.15,0.34
DLCB_ROB,8.92,0.35
DN-CSS_ROB,15.4,0.52
DoGGuided,37,1.58
DPSimNet_ROB,41.7,24.9
DSGCA,31.3,1.39
DTS,13.6,0.68
EdgeStereo,10.7,0.38
EHCI_net,8.57,0.38
ELAS,26.6,0.89
ELAS_ROB,25.7,1.03
ETED_ROB,19,1.01
FASW,28,1.3
FBW_ROB,23.9,1
FEN-D2DRR,7.89,0.33
FFE,7.39,0.31
GCSVR,15.5,0.42
Glstereo,19.8,0.87
HLSC_cor,26.9,0.86
HSM,10.2,0.58
ICSG,37.7,1.83
IDR,16.8,0.59
IEBIMst,29.2,1.25
IGF,39.1,1.59
INTS,15,0.64
iResNet,20.3,0.77
iResNet_ROB,13,0.55
ISM,39.5,1.6
JEM,30.4,1.16
JMR,10.8,0.67
LALA_ROB,18.4,0.94
LAMC_DSM,19.8,0.67
LCU,17.3,0.88
LFSIR,35.1,1.47
LocalExp,6.52,0.37
LPS,23.2,1.15
LPS,26.2,1.29
LPU,10.3,0.33
LS-ELAS,30.4,0.97
LW-CNN,8.31,0.33
MBM,21.8,0.85
MC-CNN-acrt,10.1,0.32
MC-CNN-fst,11.7,0.41
MC-CNN-WS,14.1,0.52
MC-CNN+RBS,10.8,0.34
MC-CNN+TDSR,10.2,0.34
MCCNN_Layout,9.34,0.31
MCSC,12,0.35
MCV-MFC,21.2,0.8
MDP,13.7,0.76
MEDIAN_ROB,93.6,75.5
MeshStereo,14.9,0.61
MeshStereoExt,9.32,0.33
MotionStereo,34.2,1.21
MPSV,39.8,1.7
MSFNetA,9.93,0.33
MSMD_ROB,23.3,1.1
NaN_ROB,6.76,0.37
NOSS,5.82,0.29
NOSS_ROB,5.82,0.29
NTDE,9.94,0.35
OVOD,9.65,0.3
PDISCO_ROB,11.9,0.66
PDS,11.4,0.64
PFS,19.9,0.66
PMSC,8.2,0.31
PSMNet_2000,23,0.97
PSMNet_ROB,58.5,2.79
PWCA_SGM,28.3,1.3
PWCDC_ROB,18.7,0.84
R-NCC,40.9,2.55
r200high,34.3,1.94
REAF,20.6,0.93
SDR,10.1,0.45
SED,67.6,8.36
SGBM1,23.3,0.79
SGBM1,26.4,0.89
SGBM1,27.4,1
SGBM2,25.5,0.96
SGM,17.6,0.7
SGM,21,0.77
SGM,22.1,0.86
SGM_ROB,17.7,0.71
SGM-Forest,7.01,0.51
SGMEPi,16.3,0.56
SIGMRF,32.4,1.39
SLAC,17.3,0.88
SM-AWP,31.1,1.13
SMSSR,31.1,1.36
SNCC,20.4,0.64
SNP-RSM,10.8,0.33
SOU4P-net,11.5,0.5
SPS,21.1,0.46
SSR,33,1.42
TCSCSM,17.9,0.88
TMAP,16,0.73
tMGM-16,16.5,0.48
TSGO,31.3,1.39
UCNN,19.7,0.92
VN,7.05,0.49
WCMA_ROB,33.9,1.27
WDMC,15.6,0.46
XPNet_ROB,12,0.78
