3DMST,7.08,9.45
3DMST-CM,6.49,8.9
ADSM,33.9,25.6
AMNet,47.3,9.92
APAP-Stereo,7.53,14.1
AVERAGE_ROB,96.7,89.3
BSM,37.1,35.8
CBMBNet,10,12.9
CBMV,11.7,18.8
CBMV_ROB,9.61,10.8
Cens5,23.3,21.5
CGPT,29.6,16.3
DAWA-F,24.9,17.6
DCNN,8.99,10.4
DDL,28.6,16.6
DeepPruner_ROB,21.3,7.4
Dense-CNN,10.1,19.3
DF,49.2,39.2
DISCO,6.15,4.45
DLCB_ROB,8.92,7.74
DN-CSS_ROB,15.4,6.68
DoGGuided,37,32.7
DPSimNet_ROB,41.7,52.7
DSGCA,31.3,28.6
DTS,13.6,10.8
EdgeStereo,10.7,5.74
EHCI_net,8.57,11.2
ELAS,26.6,21.2
ELAS_ROB,25.7,20
ETED_ROB,19,11.1
FASW,28,16.3
FBW_ROB,23.9,17.6
FEN-D2DRR,7.89,6.15
FFE,7.39,10.2
GCSVR,15.5,15.9
Glstereo,19.8,21.4
HLSC_cor,26.9,20.4
HSM,10.2,5.49
ICSG,37.7,48.2
IDR,16.8,17.1
IEBIMst,29.2,30
IGF,39.1,17.8
INTS,15,10.9
iResNet,20.3,8.73
iResNet_ROB,13,6.33
ISM,39.5,18
JEM,30.4,18.8
JMR,10.8,9.89
LALA_ROB,18.4,11.1
LAMC_DSM,19.8,22
LCU,17.3,11.9
LFSIR,35.1,14.2
LocalExp,6.52,8.43
LPS,23.2,19.7
LPS,26.2,21.4
LPU,10.3,11.3
LS-ELAS,30.4,24.6
LW-CNN,8.31,12.8
MBM,21.8,20.5
MC-CNN-acrt,10.1,18
MC-CNN-fst,11.7,16.5
MC-CNN-WS,14.1,18.3
MC-CNN+RBS,10.8,10.2
MC-CNN+TDSR,10.2,10.8
MCCNN_Layout,9.34,12.5
MCSC,12,13
MCV-MFC,21.2,9.13
MDP,13.7,18.8
MEDIAN_ROB,93.6,98.2
MeshStereo,14.9,15.6
MeshStereoExt,9.32,10.8
MotionStereo,34.2,15.8
MPSV,39.8,23.2
MSFNetA,9.93,9.77
MSMD_ROB,23.3,20.9
NaN_ROB,6.76,8.56
NOSS,5.82,8.87
NOSS_ROB,5.82,8.87
NTDE,9.94,10
OVOD,9.65,7.46
PDISCO_ROB,11.9,4.27
PDS,11.4,9.1
PFS,19.9,16.1
PMSC,8.2,10.1
PSMNet_2000,23,11.7
PSMNet_ROB,58.5,21.7
PWCA_SGM,28.3,16.3
PWCDC_ROB,18.7,9.88
R-NCC,40.9,40.3
r200high,34.3,53.8
REAF,20.6,15.6
SDR,10.1,9.9
SED,67.6,44.7
SGBM1,23.3,24.6
SGBM1,26.4,25.3
SGBM1,27.4,29.5
SGBM2,25.5,25
SGM,17.6,15.9
SGM,21,17.1
SGM,22.1,17.8
SGM_ROB,17.7,19.9
SGM-Forest,7.01,8.92
SGMEPi,16.3,16.6
SIGMRF,32.4,14.8
SLAC,17.3,16.7
SM-AWP,31.1,26.2
SMSSR,31.1,20.8
SNCC,20.4,20.6
SNP-RSM,10.8,11.6
SOU4P-net,11.5,11.1
SPS,21.1,31.9
SSR,33,21.7
TCSCSM,17.9,16
TMAP,16,15.1
tMGM-16,16.5,14.6
TSGO,31.3,20.5
UCNN,19.7,17.6
VN,7.05,5.8
WCMA_ROB,33.9,20.7
WDMC,15.6,22
XPNet_ROB,12,10.3
